Language,Model Type,n,m,CFI,GFI,SRMR,Score,passing
arb,Equal comm.,809,3,0.97,0.97,0.04,3,Pass
cmn,Equal comm.,1832,3,0.96,0.95,0.04,3,Pass
deu,Equal comm.,810,3,0.94,0.92,0.06,3,Pass
ell,Equal comm.,810,3,0.93,0.93,0.08,2,Fail
eng,Equal comm.,864,3,0.93,0.91,0.05,3,Pass
fra,Equal comm.,891,3,0.92,0.91,0.1,2,Fail
hrv,Equal comm.,864,3,0.95,0.93,0.06,3,Pass
ind,Equal comm.,891,3,0.93,0.92,0.08,2,Fail
ita,Equal comm.,810,3,0.94,0.93,0.07,3,Pass
jpn,Equal comm.,917,3,0.89,0.9,0.09,1,Fail
kor,Equal comm.,810,3,0.95,0.94,0.08,2,Fail
nld,Equal comm.,864,3,0.97,0.94,0.06,3,Pass
por,Equal comm.,1890,3,0.92,0.92,0.09,2,Fail
spa,Equal comm.,1647,3,0.92,0.91,0.06,3,Pass
swe,Equal comm.,945,3,0.94,0.92,0.05,3,Pass
tur,Equal comm.,918,3,0.93,0.92,0.08,2,Fail
